term,estimate,std_error,t_value,p_value
const,98.1102521225836,1.941080872332309,50.5441342094619,0.0
firm_type_Local SME,1.5368024907513254,1.2707514938464117,1.209365086874389,0.22671472635832096
firm_type_MNC subsidiary,-0.13481421736723398,1.495877330924813,-0.09012384543850684,0.9282009295331963
firm_type_Outsourcing,0.19572736132117363,1.30233231449091,0.1502898754360439,0.8805562892938193
"university_tier_T1 (BUET, DU, IUT)",5.377267772163066,1.3873854175615155,3.875828377679083,0.00011088434043348718
"university_tier_T2 (KUET, RUET, SUST)",5.153951413024959,1.3682146101829382,3.7669173934166995,0.0001717206862578619
university_tier_T3 (Private),0.11658810445211643,1.3053032864578724,0.08931878565057089,0.9288405848756741
english_cefr_B1,2.9147947945844486,1.1343394853422677,2.5695965204851867,0.010278344258196265
english_cefr_B2,6.790757294619183,1.1294436702049004,6.012479837429363,2.294792627721552e-09
english_cefr_C1,10.727423470758689,1.3290280206358982,8.071630773913972,1.4169271140696964e-15
experience_years,1.1241651305205178,0.10658530244315689,10.547093311669753,3.9370116840571047e-25
genai_adopted,23.325610458955406,0.760027139547779,30.690496753621577,1.1450679885677276e-160
